Sort_Order,Code,Group,Title,Note,ToD_1,ToD_2,ToD_3,Developed_Region,Least_Dev_Country,Sub_Saharan_Africa,Country_Code,Major_Area,M_Code,Region,R_Code
1,900,WORLD,WORLD,,,,,No,No,No,,,,,
2,901,Developed regions,Developed regions,(b),,,,No,No,No,,,,,
3,902,Developing regions,Developing regions,(c),,,,No,No,No,,,,,
4,941,Least developed countries,Least developed countries,(d),,,,No,No,No,,,,,
5,934,Less developed regions,Less developed regions excluding least developed countries,,,,,No,No,No,,,,,
6,947,Sub-Saharan Africa,Sub-Saharan Africa,(e),,,,No,No,No,,,,,
7,903,Major_Area,Africa,,,,,No,No,No,,Major_Area,903,Africa,903
8,910,Region,Eastern Africa,,,,,No,No,No,,Africa,903,Eastern Africa,910
9,108,Country_or_Area,Burundi,,B,R,,No,Yes,Yes,108,Africa,903,Eastern Africa,910
10,174,Country_or_Area,Comoros,,B,,,No,Yes,Yes,174,Africa,903,Eastern Africa,910
11,262,Country_or_Area,Djibouti,,B,R,,No,Yes,Yes,262,Africa,903,Eastern Africa,910
12,232,Country_or_Area,Eritrea,,I,,,No,Yes,Yes,232,Africa,903,Eastern Africa,910
13,231,Country_or_Area,Ethiopia,,B,R,,No,Yes,Yes,231,Africa,903,Eastern Africa,910
14,404,Country_or_Area,Kenya,,B,R,,No,No,Yes,404,Africa,903,Eastern Africa,910
15,450,Country_or_Area,Madagascar,,C,,,No,Yes,Yes,450,Africa,903,Eastern Africa,910
16,454,Country_or_Area,Malawi,,B,R,,No,Yes,Yes,454,Africa,903,Eastern Africa,910
17,480,Country_or_Area,Mauritius,(1),C,,,No,No,Yes,480,Africa,903,Eastern Africa,910
18,175,Country_or_Area,Mayotte,,B,,,No,No,Yes,175,Africa,903,Eastern Africa,910
19,508,Country_or_Area,Mozambique,,B,R,,No,Yes,Yes,508,Africa,903,Eastern Africa,910
20,638,Country_or_Area,Réunion,,B,,,No,No,Yes,638,Africa,903,Eastern Africa,910
21,646,Country_or_Area,Rwanda,,B,R,,No,Yes,Yes,646,Africa,903,Eastern Africa,910
22,690,Country_or_Area,Seychelles,,B,,,No,No,Yes,690,Africa,903,Eastern Africa,910
23,706,Country_or_Area,Somalia,,I,R,,No,Yes,Yes,706,Africa,903,Eastern Africa,910
24,728,Country_or_Area,South Sudan,,B,R,,No,Yes,Yes,728,Africa,903,Eastern Africa,910
25,800,Country_or_Area,Uganda,,B,R,,No,Yes,Yes,800,Africa,903,Eastern Africa,910
26,834,Country_or_Area,United Republic of Tanzania,(2),B,R,,No,Yes,Yes,834,Africa,903,Eastern Africa,910
27,894,Country_or_Area,Zambia,,B,R,,No,Yes,Yes,894,Africa,903,Eastern Africa,910
28,716,Country_or_Area,Zimbabwe,,B,R,,No,No,Yes,716,Africa,903,Eastern Africa,910
29,911,Region,Middle Africa,,,,,No,No,No,,Africa,903,Middle Africa,911
30,24,Country_or_Area,Angola,,B,R,,No,Yes,Yes,24,Africa,903,Middle Africa,911
31,120,Country_or_Area,Cameroon,,B,,,No,No,Yes,120,Africa,903,Middle Africa,911
32,140,Country_or_Area,Central African Republic,,C,,,No,Yes,Yes,140,Africa,903,Middle Africa,911
33,148,Country_or_Area,Chad,,B,R,,No,Yes,Yes,148,Africa,903,Middle Africa,911
34,178,Country_or_Area,Congo,,B,,,No,No,Yes,178,Africa,903,Middle Africa,911
35,180,Country_or_Area,Democratic Republic of the Congo,,B,R,,No,Yes,Yes,180,Africa,903,Middle Africa,911
36,226,Country_or_Area,Equatorial Guinea,,C,,,No,Yes,Yes,226,Africa,903,Middle Africa,911
37,266,Country_or_Area,Gabon,,C,,,No,No,Yes,266,Africa,903,Middle Africa,911
38,678,Country_or_Area,Sao Tome and Principe,,C,,,No,Yes,Yes,678,Africa,903,Middle Africa,911
39,912,Region,Northern Africa,,,,,No,No,No,,Africa,903,Northern Africa,912
40,12,Country_or_Area,Algeria,,C,R,,No,No,No,12,Africa,903,Northern Africa,912
