,Code,Year,Gender,Table_1,Table_2,Table_3,Table_4,Table_6_PR,Table_6_Est,Sort_Order,Group,Title,Note,ToD_1,ToD_2,ToD_3,Developed_Region,Least_Dev_Country,Sub_Saharan_Africa,Country_Code,Major_Area,M_Code,Region,R_Code
1926,922,1990,T,15239274.0,148551929.0,10.25855005894942,,16.843787965227214,2566871.0,108,Region,Western Asia,,,,,No,No,No,,Asia,935.0,Western Asia,922.0
1927,922,1995,T,16956639.0,166655663.0,10.174655151082383,,22.25418610374379,3773562.0,108,Region,Western Asia,,,,,No,No,No,,Asia,935.0,Western Asia,922.0
1928,922,2000,T,18559009.0,184956825.0,10.0342385310734,,23.12009224199417,4290860.0,108,Region,Western Asia,,,,,No,No,No,,Asia,935.0,Western Asia,922.0
1929,922,2005,T,21658647.0,205806355.0,10.52379893711251,,23.707496594778057,5134723.0,108,Region,Western Asia,,,,,No,No,No,,Asia,935.0,Western Asia,922.0
1930,922,2010,T,30601647.0,232702720.0,13.15053257649932,,21.417236137649716,6554027.0,108,Region,Western Asia,,,,,No,No,No,,Asia,935.0,Western Asia,922.0
1931,922,2015,T,38119524.0,257231020.0,14.81917849565733,,24.40848946592303,9304400.0,108,Region,Western Asia,,,,,No,No,No,,Asia,935.0,Western Asia,922.0
1944,51,1990,T,658789.0,3544695.0,18.585209728904744,,0.0,0.0,109,Country_or_Area,Armenia,,B,R,,No,No,No,51.0,Asia,935.0,Western Asia,922.0
1945,51,1995,T,693999.0,3223173.0,21.531546708786653,,31.549036814174087,218950.0,109,Country_or_Area,Armenia,,B,R,,No,No,No,51.0,Asia,935.0,Western Asia,922.0
1946,51,2000,T,657900.0,3076098.0,21.38748505411726,,42.64949080407357,280591.0,109,Country_or_Area,Armenia,,B,R,,No,No,No,51.0,Asia,935.0,Western Asia,922.0
1947,51,2005,T,469119.0,3014917.0,15.559930837233662,,46.80049198604192,219550.0,109,Country_or_Area,Armenia,,B,R,,No,No,No,51.0,Asia,935.0,Western Asia,922.0
1948,51,2010,T,221560.0,2963496.0,7.47630501272821,,6.197869651561653,13732.0,109,Country_or_Area,Armenia,,B,R,,No,No,No,51.0,Asia,935.0,Western Asia,922.0
1949,51,2015,T,191199.0,3017712.0,6.335892888386963,,7.6762953781139025,14677.0,109,Country_or_Area,Armenia,,B,R,,No,No,No,51.0,Asia,935.0,Western Asia,922.0
1962,31,1990,T,360600.0,7216503.0,4.996880067811238,,0.0,0.0,110,Country_or_Area,Azerbaijan,(9),B,R,,No,No,No,31.0,Asia,935.0,Western Asia,922.0
1963,31,1995,T,344070.0,7770806.0,4.427726029963945,,67.91699363501613,233682.0,110,Country_or_Area,Azerbaijan,(9),B,R,,No,No,No,31.0,Asia,935.0,Western Asia,922.0
1964,31,2000,T,327540.0,8117742.0,4.0348658530906745,,16.688954020882946,54663.0,110,Country_or_Area,Azerbaijan,(9),B,R,,No,No,No,31.0,Asia,935.0,Western Asia,922.0
1965,31,2005,T,302220.0,8563398.0,3.529206513582576,,1.15975117464099,3505.0,110,Country_or_Area,Azerbaijan,(9),B,R,,No,No,No,31.0,Asia,935.0,Western Asia,922.0
1966,31,2010,T,276901.0,9099893.0,3.042903911067965,,0.6890549329904911,1908.0,110,Country_or_Area,Azerbaijan,(9),B,R,,No,No,No,31.0,Asia,935.0,Western Asia,922.0
1967,31,2015,T,264241.0,9753968.0,2.709061583962547,,0.5222505213044153,1380.0,110,Country_or_Area,Azerbaijan,(9),B,R,,No,No,No,31.0,Asia,935.0,Western Asia,922.0
1980,48,1990,T,173212.0,495944.0,34.925717419708675,,1.027642426621712,1780.0,111,Country_or_Area,Bahrain,,C,,,No,No,No,48.0,Asia,935.0,Western Asia,922.0
1981,48,1995,T,205979.0,563730.0,36.53859116953152,,0.432568368620102,891.0,111,Country_or_Area,Bahrain,,C,,,No,No,No,48.0,Asia,935.0,Western Asia,922.0
1982,48,2000,T,239361.0,666855.0,35.89400994219133,,0.0004177790032628,1.0,111,Country_or_Area,Bahrain,,C,,,No,No,No,48.0,Asia,935.0,Western Asia,922.0
1983,48,2005,T,404018.0,867014.0,46.59878617876989,,0.0205436391447905,83.0,111,Country_or_Area,Bahrain,,C,,,No,No,No,48.0,Asia,935.0,Western Asia,922.0
1984,48,2010,T,657856.0,1261319.0,52.15619522103449,,0.0250814767973538,165.0,111,Country_or_Area,Bahrain,,C,,,No,No,No,48.0,Asia,935.0,Western Asia,922.0
1985,48,2015,T,704137.0,1377237.0,51.12678500504997,,0.0424633274490617,299.0,111,Country_or_Area,Bahrain,,C,,,No,No,No,48.0,Asia,935.0,Western Asia,922.0
1998,196,1990,T,43805.0,766611.0,5.714110546287492,,0.0388083552105924,17.0,112,Country_or_Area,Cyprus,(10),B,,,No,No,No,196.0,Asia,935.0,Western Asia,922.0
1999,196,1995,T,61941.0,855389.0,7.241266838830053,,0.0920230541967356,57.0,112,Country_or_Area,Cyprus,(10),B,,,No,No,No,196.0,Asia,935.0,Western Asia,922.0
2000,196,2000,T,80076.0,943287.0,8.489038860919317,,0.1211349218242669,97.0,112,Country_or_Area,Cyprus,(10),B,,,No,No,No,196.0,Asia,935.0,Western Asia,922.0
2001,196,2005,T,117165.0,1032586.0,11.346754652881213,,0.5983015405624547,701.0,112,Country_or_Area,Cyprus,(10),B,,,No,No,No,196.0,Asia,935.0,Western Asia,922.0
2002,196,2010,T,187923.0,1103685.0,17.02686907949279,,1.8060588645349425,3394.0,112,Country_or_Area,Cyprus,(10),B,,,No,No,No,196.0,Asia,935.0,Western Asia,922.0
2003,196,2015,T,196167.0,1165300.0,16.834034154295033,,2.1823242441389223,4281.0,112,Country_or_Area,Cyprus,(10),B,,,No,No,No,196.0,Asia,935.0,Western Asia,922.0
2016,268,1990,T,338300.0,5460309.0,6.195620064725274,,0.0,0.0,113,Country_or_Area,Georgia,(11),B,,,No,No,No,268.0,Asia,935.0,Western Asia,922.0
2017,268,1995,T,278450.0,5067143.0,5.495207062441301,,1.1492188902855092,3200.0,113,Country_or_Area,Georgia,(11),B,,,No,No,No,268.0,Asia,935.0,Western Asia,922.0
2018,268,2000,T,218600.0,4743591.0,4.608323103741448,,2.92772186642269,6400.0,113,Country_or_Area,Georgia,(11),B,,,No,No,No,268.0,Asia,935.0,Western Asia,922.0
2019,268,2005,T,199805.0,4475273.0,4.464643832901367,,1.7617176747328644,3520.0,113,Country_or_Area,Georgia,(11),B,,,No,No,No,268.0,Asia,935.0,Western Asia,922.0
2020,268,2010,T,182202.0,4250132.0,4.286972734023321,,0.3507096519247867,639.0,113,Country_or_Area,Georgia,(11),B,,,No,No,No,268.0,Asia,935.0,Western Asia,922.0
2021,268,2015,T,168802.0,3999812.0,4.220248351672529,,0.5076954064525302,857.0,113,Country_or_Area,Georgia,(11),B,,,No,No,No,268.0,Asia,935.0,Western Asia,922.0
2034,368,1990,T,83638.0,17478455.0,0.4785205557356184,,1.0760659030584183,900.0,114,Country_or_Area,Iraq,,C,R,,No,No,No,368.0,Asia,935.0,Western Asia,922.0
2035,368,1995,T,199460.0,20217759.0,0.986558401452901,,58.5190013035195,116722.0,114,Country_or_Area,Iraq,,C,R,,No,No,No,368.0,Asia,935.0,Western Asia,922.0
2036,368,2000,T,210525.0,23574751.0,0.8930104924544059,,60.69920437002732,127787.0,114,Country_or_Area,Iraq,,C,R,,No,No,No,368.0,Asia,935.0,Western Asia,922.0
2037,368,2005,T,132915.0,27017712.0,0.4919550552615262,,37.75119437234323,50177.0,114,Country_or_Area,Iraq,,C,R,,No,No,No,368.0,Asia,935.0,Western Asia,922.0
2038,368,2010,T,117389.0,30868156.0,0.3802915859308214,,29.5180979478486,34651.0,114,Country_or_Area,Iraq,,C,R,,No,No,No,368.0,Asia,935.0,Western Asia,922.0
