C_Sort_Order,Country_or_Area,Note,Country_Code,Type_of_Data,T1_T_1990,T1_T_1995,T1_T_2000,T1_T_2005,T1_T_2010,T1_T_2015,T1_M_1990,T1_M_1995,T1_M_2000,T1_M_2005,T1_M_2010,T1_M_2015,T1_F_1990,T1_F_1995,T1_F_2000,T1_F_2005,T1_F_2010,T1_F_2015,Group
1,WORLD,,900,,152563212,160801752,172703309,191269100,221714243.0,243700236.0,77747510,81737477,87884839,97866674,114613714.0,126115435.0,74815702,79064275,84818470,93402426,107100529.0,117584801.0,WORLD
2,Developed regions,(b),901,,82378628,92306854,103375363,117181109,132560325.0,140481955.0,40263397,45092799,50536796,57217777,64081077.0,67618619.0,42115231,47214055,52838567,59963332,68479248.0,72863336.0,Developed regions
3,Developing regions,(c),902,,70184584,68494898,69327946,74087991,89153918.0,103218281.0,37484113,36644678,37348043,40648897,50532637.0,58496816.0,32700471,31850220,31979903,33439094,38621281.0,44721465.0,Developing regions
4,Least developed countries,(d),941,,11075966,11711703,10077824,9809634,10018128.0,11951316.0,5843107,6142712,5361902,5383009,5462714.0,6463217.0,5236216,5573685,4721920,4432371,4560536.0,5493028.0,Least developed countries
5,Less developed regions excluding least developed countries,,934,,59105261,56778501,59244124,64272611,79130668.0,91262036.0,31641006,30501966,31986141,35265888,45069923.0,52033599.0,27464255,26276535,27257983,29006723,34060745.0,39228437.0,Less developed regions
6,Sub-Saharan Africa,(e),947,,14690319,15324570,13716539,13951086,15496764.0,18993986.0,7745306,8036824,7210452,7444048,8188581.0,10099486.0,6945013,7287746,6506087,6507038,7308183.0,8894500.0,Sub-Saharan Africa
7,Africa,,903,,15690623,16352814,14800306,15191146,16840014.0,20649557.0,8279564,8616931,7856358,8231437,9039314.0,11123423.0,7411059,7735883,6943948,6959709,7800700.0,9526134.0,Major_Area
8,Eastern Africa,,910,,5964031,5022742,4844795,4745792,4657063.0,6129113.0,3071189,2585053,2480584,2529460,2366216.0,3109176.0,2892842,2437689,2364211,2216332,2290847.0,3019937.0,Region
9,Burundi,,108,B R,333110,254853,125628,172874,235259.0,286810.0,163267,124165,61094,84805,115823.0,141311.0,169843,130688,64534,88069,119436.0,145499.0,Country_or_Area
10,Comoros,,174,B,14079,13939,13799,13209,12618.0,12555.0,6717,6614,6511,6286,6060.0,6071.0,7362,7325,7288,6923,6558.0,6484.0,Country_or_Area
11,Djibouti,,262,B R,122221,99774,100507,92091,101575.0,112351.0,64242,52476,52920,51315,53295.0,59081.0,57979,47298,47587,40776,48280.0,53270.0,Country_or_Area
12,Eritrea,,232,I,11848,12400,12952,14314,15676.0,15941.0,6228,6542,6856,7729,8603.0,8833.0,5620,5858,6096,6585,7073.0,7108.0,Country_or_Area
13,Ethiopia,,231,B R,1155390,806904,611384,514242,567720.0,1072949.0,607284,424117,322219,269725,297534.0,547062.0,548106,382787,289165,244517,270186.0,525887.0,Country_or_Area
14,Kenya,,404,B R,297292,618745,699139,756894,926959.0,1084357.0,160852,322189,348594,391310,459343.0,541644.0,136440,296556,350545,365584,467616.0,542713.0,Country_or_Area
15,Madagascar,,450,C,23917,21177,23541,26058,28905.0,32075.0,13348,11901,13276,14744,16410.0,18270.0,10569,9276,10265,11314,12495.0,13805.0,Country_or_Area
16,Malawi,,454,B R,1127724,241624,232620,221661,217722.0,215158.0,546520,116198,111530,105931,103869.0,102544.0,581204,125426,121090,115730,113853.0,112614.0,Country_or_Area
17,Mauritius,(1),480,C,3613,7493,15543,19647,24836.0,28585.0,1763,3228,5705,8943,13188.0,15832.0,1850,4265,9838,10704,11648.0,12753.0,Country_or_Area
18,Mayotte,,175,B,15229,26316,45474,63176,72757.0,76992.0,8780,14679,23546,31364,34500.0,35623.0,6449,11637,21928,31812,38257.0,41369.0,Country_or_Area
19,Mozambique,,508,B R,122332,168256,195702,204830,214612.0,222928.0,66060,91210,103175,102500,104676.0,107955.0,56272,77046,92527,102330,109936.0,114973.0,Country_or_Area
20,Réunion,,638,B,57210,77159,100678,115076,123029.0,127209.0,30724,40710,52264,59196,62707.0,64537.0,26486,36449,48414,55880,60322.0,62672.0,Country_or_Area
21,Rwanda,,646,B R,159869,233200,347076,432797,436787.0,441525.0,80690,117931,175685,217027,218425.0,220017.0,79179,115269,171391,215770,218362.0,221508.0,Country_or_Area
22,Seychelles,,690,B,3721,5148,6574,8997,11420.0,12791.0,2204,3021,3837,5820,7804.0,8954.0,1517,2127,2737,3177,3616.0,3837.0,Country_or_Area
23,Somalia,,706,I R,478294,19527,20087,20670,23995.0,25291.0,244201,10282,10622,11047,12914.0,13760.0,234093,9245,9465,9623,11081.0,11531.0,Country_or_Area
24,South Sudan,,728,B R,..,..,..,..,257905.0,824122.0,..,..,..,..,132693.0,420949.0,..,..,..,..,125212.0,403173.0,Country_or_Area
25,Uganda,,800,B R,558307,634620,634703,652968,529160.0,749471.0,290084,321360,314325,322421,261646.0,374438.0,268223,313260,320378,330547,267514.0,375033.0,Country_or_Area
26,United Republic of Tanzania,(2),834,B R,574025,1106043,928180,770846,308600.0,261222.0,283390,547089,470962,486774,153984.0,130404.0,290635,558954,457218,284072,154616.0,130818.0,Country_or_Area
27,Zambia,,894,B R,279029,244338,321167,252749,149637.0,127915.0,142807,125329,163620,128553,75775.0,64512.0,136222,119009,157547,124196,73862.0,63403.0,Country_or_Area
