ds,yhat,yhat_lower,yhat_upper
2025-03-31,2086528.2498295757,1613804.8660807214,2546183.96931068
2025-04-30,2252585.8155761734,1764560.636617185,2721806.760266293
2025-05-31,2124968.321503273,1684564.7040379725,2563590.122357713
2025-06-30,1970195.4648133838,1538336.8264496145,2433821.7510695755
2025-07-31,2239090.8016096232,1752047.42307205,2686630.384000211
2025-08-31,1833724.4340291508,1345907.997243523,2349429.9272452113
2025-09-30,1708777.6188891095,1255590.1199029798,2203268.540188769
2025-10-31,1837061.6247790048,1406642.7583778223,2323265.429498672
2025-11-30,1956674.573985525,1483137.6810700824,2425497.8235143316
2025-12-31,1936069.5063777042,1465424.9400872441,2385466.493388894
2026-01-31,2166363.9918537047,1689065.7235034946,2630999.509301939
2026-02-28,2044202.426880082,1572460.2064251215,2557173.993565372
2026-03-31,2112198.3459754684,1615010.9605712246,2598910.3180982554
2026-04-30,2231086.6901418697,1766007.1623355458,2730610.3446514765
2026-05-31,2129998.9305987246,1684611.1205118783,2587105.1784951114
2026-06-30,1999670.7099143083,1508275.896561938,2503594.566193903
2026-07-31,2245326.1085062004,1774374.3096361791,2697526.905359036
2026-08-31,1837829.3117371784,1391600.1917396288,2310929.1707779476
