ACC_MONTH,FISCAL_YEAR,ACCOUNTING_PERIOD,TOT_PAID,BUDGET_AMT,NBR_CASE,NBR_MURDER,NBR_OTHER,TOT_PAID_ADJUSTED,TOT_PAID_ADJUSTED_NEW_SLOPE,TOT_PAID_ADJUSTED_FINAL,BUDGET_AMT_LAG12,NBR_CASE_LAG11,TOT_PAID_ADJUSTED_LAGGED_FINAL
2012-04-30,2012,1,2872070.97,2064924.92,36,12,24,3123205.28392345,3173605.11454279,2621554.5930275326,3629805.06,41.0,3135642.6433092672
2012-05-31,2012,2,2017235.18,1387912.58,30,10,20,2271328.8657015376,2277690.1166189713,1927326.53069789,1724956.61,38.0,2095194.6180460253
2012-06-30,2012,3,2030150.39,2203039.23,32,9,23,2287203.447479625,2294385.3503366066,2194601.096345952,2623665.5,49.0,2450286.8700097296
2012-07-31,2012,4,2156175.11,1510063.18,41,12,29,2416187.5392577127,2430037.400147742,2119284.598303119,2626410.66,33.0,2406744.4893081896
2012-08-31,2012,5,2104838.76,2852607.3,68,14,54,2367810.5610358,2379159.5270007066,2690859.7738844003,1995629.23,43.0,2262191.094739114
2012-09-30,2012,6,1239605.6,2982185.85,46,8,38,1505536.7728138876,1472309.6569255884,2118029.9121651533,3465521.97,35.0,2193638.0048980014
2012-10-31,2012,7,1813201.08,1831774.12,35,9,26,2082091.6245919752,2078670.0723387718,1996947.3550309013,1792970.42,32.0,1974016.75630326
2012-11-30,2012,8,1964663.18,3229496.07,61,14,47,2236513.096370063,2241074.512241249,2684522.5592423165,1924099.546,25.0,2045473.7343513893
2012-12-31,2012,9,1705037.78,3051046.44,51,12,39,1979847.0681481499,1971139.8841393031,2424075.5872451216,1790695.5,27.0,1884509.2007013047
2013-01-31,2012,10,1654993.05,1619809.81,33,10,23,1932761.7099262376,1921620.4025439832,1840444.2733442625,1337685.21,32.0,1758906.358405866
2013-02-28,2012,11,2364079.84,2386270.9,35,11,24,2644807.871704325,2670476.4829630307,2459199.5943430304,1815549.91,75.0,2578209.683934491
2013-03-31,2012,12,900197.95,2377410.52,27,10,17,1183885.3534824129,1134030.154736712,1630762.5010728939,2238235.9,36.0,1663324.4299040071
