ACC_MONTH,FISCAL_YEAR,ACCOUNTING_PERIOD,TOT_PAID,BUDGET_AMT,NBR_CASE,NBR_MURDER,NBR_OTHER
4/30/2011,2011,1,1489878.86,,62,,46
5/31/2011,2011,2,1922713.79,,41,,33
6/30/2011,2011,3,2378873.09,,38,,26
7/31/2011,2011,4,1853901.62,,49,,40
8/31/2011,2011,5,2024100.54,,33,,16
9/30/2011,2011,6,1329445.24,,43,,23
10/31/2011,2011,7,1865240.64,,35,,26
11/30/2011,2011,8,2159360.43,,32,,16
12/31/2011,2011,9,1356333.85,,25,,19
1/31/2012,2011,10,1692342.47,,27,,19
2/29/2012,2011,11,2208069.26,3629805.06,32,,19
3/31/2012,2011,12,1909207,1724956.61,75,,58
4/30/2012,2012,1,2872070.97,2623665.5,36,,24
5/31/2012,2012,2,2017235.18,2626410.66,30,,20
6/30/2012,2012,3,2030150.39,1995629.23,32,,23
7/31/2012,2012,4,2156175.11,3465521.97,41,,29
8/31/2012,2012,5,2104838.76,1792970.42,68,,54
9/30/2012,2012,6,1239605.6,1924099.546,46,,38
10/31/2012,2012,7,1813201.08,1790695.5,35,,26
11/30/2012,2012,8,1964663.18,1337685.21,61,16,47
12/31/2012,2012,9,1705037.78,1815549.91,51,8,39
1/31/2013,2012,10,1654993.05,2238235.9,33,12,23
2/28/2013,2012,11,2364079.84,2064924.92,35,9,24
3/31/2013,2012,12,900197.95,1387912.58,27,17,17
4/30/2013,2013,1,2671204.95,2203039.23,49,20,36
5/31/2013,2013,2,1656952.45,1510063.18,32,9,18
6/30/2013,2013,3,1981714.48,2852607.3,42,16,29
7/31/2013,2013,4,2596199.19,2982185.85,37,6,25
8/31/2013,2013,5,2160295.18,1831774.12,34,8,26
9/30/2013,2013,6,1513882.32,3229496.07,32,13,24
10/31/2013,2013,7,1632396.88,3051046.44,60,17,35
11/30/2013,2013,8,2294279,1619809.81,43,12,32
12/31/2013,2013,9,2172848.61,2386270.9,35,10,24
1/31/2014,2013,10,1644101.03,2377410.52,67,9,57
2/28/2014,2013,11,1641647.36,2164948.38,55,12,42
3/31/2014,2013,12,2156105.37,1925505.81,42,14,29
4/30/2014,2014,1,2222263.14,1754634.66,54,8,43
5/31/2014,2014,2,1709731.4,1952435.36,51,9,36
6/30/2014,2014,3,2056515.37,2236453.92,38,14,29
7/31/2014,2014,4,2167779.74,1369729.94,59,12,46
8/31/2014,2014,5,2164246.54,3025887.28,24,10,19
9/30/2014,2014,6,1638343.97,1421532.25,55,11,42
10/31/2014,2014,7,1643687.01,1427626.49,56,10,47
11/30/2014,2014,8,1801718.81,3507401.86,33,13,28
12/31/2014,2014,9,2229873.87,1841224.41,31,14,18
1/31/2015,2014,10,1652092.58,3266199.09,47,13,34
2/28/2015,2014,11,1812800.17,2358043.45,56,12,44
3/31/2015,2014,12,2280071.14,2031113.489,65,8,50
4/30/2015,2015,1,2268000.62,2094661.68,37,8,24
5/31/2015,2015,2,2296895.1,3607457.13,67,25,54
6/30/2015,2015,3,2560899.1,1138014.36,51,11,40
7/31/2015,2015,4,2921974.55,2057333.71,35,11,29
8/31/2015,2015,5,2162138.14,3876312.01,38,10,27
9/30/2015,2015,6,1539331.38,1260767.63,57,13,42
10/31/2015,2015,7,1933027.15,2534111.84,19,13,16
11/30/2015,2015,8,1972425.92,1956282.453,57,11,43
12/31/2015,2015,9,1992113.37,3181166.224,24,15,16
1/31/2016,2015,10,2221328.92,2792862.4,54,9,37
2/29/2016,2015,11,1660954.45,2036438.798,41,13,31
3/31/2016,2015,12,1940317.92,3073630.96,42,5,32
4/30/2016,2016,1,1900619.06,2293476.359,50,13,41
5/31/2016,2016,2,1813296.63,2004424.244,44,9,26
6/30/2016,2016,3,1741400.85,2156796.2,42,5,30
7/31/2016,2016,4,2389991.23,2090915.083,37,13,31
8/31/2016,2016,5,1360454.62,1500551.648,36,13,31
9/30/2016,2016,6,2130952.88,3941170.846,29,12,21
10/31/2016,2016,7,1560746.86,1453386.65,40,15,27
11/30/2016,2016,8,1751660.08,2096546.766,39,13,23
12/31/2016,2016,9,1247216.95,1648925.19,33,13,18
1/31/2017,2016,10,2283660.72,2296818.55,46,11,32
2/28/2017,2016,11,2065107.68,2330669.011,30,6,22
3/31/2017,2016,12,1561699.4,2193039.19,28,11,22
4/30/2017,2017,1,1501834.04,1764802.379,45,15,32
5/31/2017,2017,2,2452080.04,2944021.215,50,3,29
6/30/2017,2017,3,1977013.09,2234798.69,27,14,15
7/31/2017,2017,4,2556370.52,1559861.258,49,8,27
8/31/2017,2017,5,1885803.17,1926779.928,36,17,27
9/30/2017,2017,6,1953280.92,3566603.692,36,10,29
10/31/2017,2017,7,1746813.75,1766605.264,42,10,32
11/30/2017,2017,8,1606243.9,3084823.166,44,9,34
12/31/2017,2017,9,1625741.69,1569254.32,21,18,13
1/31/2018,2017,10,2697441.94,1270808.493,49,12,39
2/28/2018,2017,11,1615646.79,2755812.218,64,6,50
3/31/2018,2017,12,2145538.1,2387869.87,61,5,48
4/30/2018,2018,1,2153008.87,2397063.113,56,8,36
5/31/2018,2018,2,2101930.5,3006947.783,50,13,39
6/30/2018,2018,3,2097268.44,2672625.422,47,16,28
7/31/2018,2018,4,2592867.81,1497327.189,36,15,28
8/31/2018,2018,5,2015054.33,2256027.323,44,14,25
9/30/2018,2018,6,1222470.6,2090420.503,52,8,34
10/31/2018,2018,7,2249711.87,1267262.348,51,6,33
11/30/2018,2018,8,1939409.96,3167225.47,29,13,24
12/31/2018,2018,9,1482792.84,3607562.054,46,21,35
1/31/2019,2018,10,2127225.02,2431429.333,66,12,45
2/28/2019,2018,11,2160835.26,3239678.403,57,22,47
3/31/2019,2018,12,2860021.31,2203610.271,92,9,77
4/30/2019,2019,1,2311900.09,1983393.376,59,7,45
5/31/2019,2019,2,2282023.7,1510168.665,88,10,70
6/30/2019,2019,3,2411533.35,2221267.368,44,10,25
7/31/2019,2019,4,2433979.15,2877683.088,46,8,38
8/31/2019,2019,5,1665229.4,2263179.778,30,10,19
9/30/2019,2019,6,1754382.48,1731484.64,27,14,18
10/31/2019,2019,7,1695773.84,2767227.89,50,13,28
11/30/2019,2019,8,2524529.51,3572884.661,44,20,23
12/31/2019,2019,9,2955954.39,3358937.97,37,11,29
1/31/2020,2019,10,1996322.15,4540530.886,52,19,36
