ds,Actual_TOT_PAID,Prediction_TOT_PAID,Prediction_TOT_PAID_lower,Prediction_TOT_PAID_upper,source,Actual_BUDGET_AMT,Forecast_BUDGET_AMT,Actual_NBR_MURDER,Forecast_NBR_MURDER,model_run_datetime
2011-04-30,1489878.86,2160283.222921916,1706797.2420527095,2616455.4284484764,Fitted,3629805.06,2202063.017636281,16.0,11.403130517284959,2025-03-22 17:57:08
2011-05-31,1922713.79,2039558.0737197716,1567043.6996360188,2481159.1678359187,Fitted,1724956.61,2133532.276861382,8.0,11.417865004787446,2025-03-22 17:57:08
2011-06-30,2378873.09,1908730.9876376651,1417362.206073936,2357134.5724929874,Fitted,2623665.5,2116555.4510083064,12.0,11.922715611363136,2025-03-22 17:57:08
2011-07-31,1853901.62,2169263.7448110133,1684952.0145605414,2614984.228283296,Fitted,2626410.66,2009281.602601204,9.0,7.043197851184614,2025-03-22 17:57:08
2011-08-31,2024100.54,1746620.8245957205,1322577.8549265978,2214807.1240219134,Fitted,1995629.23,2038280.3901879322,17.0,8.309321834013945,2025-03-22 17:57:08
2011-09-30,1329445.24,1598590.2780336689,1141989.2412099296,2020536.3825497928,Fitted,3465521.97,2269654.6782597713,20.0,11.4177158182668,2025-03-22 17:57:08
2011-10-31,1865240.64,1756038.386513943,1278684.9106348858,2212027.867059225,Fitted,1792970.42,2119086.8531989777,9.0,10.879667258169976,2025-03-22 17:57:08
2011-11-30,2159360.43,1890262.5298729606,1421079.2042370664,2333211.895891738,Fitted,1924099.546,2317081.8188780886,16.0,10.800640821510086,2025-03-22 17:57:08
2011-12-31,1356333.85,1880864.7606536685,1410597.4598884094,2350760.0300725033,Fitted,1790695.5,1839047.3382621277,6.0,8.411863215629918,2025-03-22 17:57:08
2012-01-31,1692342.47,2064898.607352335,1590267.825637354,2520521.1738167917,Fitted,1337685.21,2362602.8103955192,8.0,10.967967584573296,2025-03-22 17:57:08
2012-02-29,2208069.26,1975088.1252265498,1498847.682226169,2434819.9417197057,Fitted,1815549.91,2264212.494194405,13.0,10.995160175002807,2025-03-22 17:57:08
2012-03-31,1909207.0,2018848.657123058,1585210.0495824413,2505554.071688993,Fitted,2238235.9,2454344.265323682,17.0,12.764310204894283,2025-03-22 17:57:08
