ds,Actual_TOT_PAID,Prediction_TOT_PAID,Prediction_TOT_PAID_lower,Prediction_TOT_PAID_upper,source,Actual_BUDGET_AMT,Forecast_BUDGET_AMT,Actual_NBR_MURDER,Forecast_NBR_MURDER,model_run_datetime
3/31/2025,,209.0,1618104.447,2528125.65,Forecast,,2968639.732,,19.13300314,2025-03-22 16:08:00
4/30/2025,,209.0,1808487.688,2699890.067,Forecast,,2772936.474,,18.24719719,2025-03-22 16:08:00
7/31/2026,,209.0,1781622.366,2707199.869,Forecast,,2587955.793,,14.53797131,2025-03-22 16:08:00
6/30/2026,,209.0,1546179.27,2437404.156,Forecast,,2706176.407,,19.26952455,2025-03-22 16:08:00
5/31/2026,,209.0,1674494.274,2603269.688,Forecast,,2704890.905,,18.80968589,2025-03-22 16:08:00
4/30/2026,,209.0,1801086.606,2714130.713,Forecast,,2795987.723,,18.75672418,2025-03-22 16:08:00
3/31/2026,,209.0,1616403.13,2529637.654,Forecast,,3019853.729,,19.60408314,2025-03-22 16:08:00
2/28/2026,,209.0,1571904.769,2511503.773,Forecast,,2842883.531,,17.80871618,2025-03-22 16:08:00
1/31/2026,,209.0,1705916.492,2613956.25,Forecast,,2931487.633,,17.49682867,2025-03-22 16:08:00
12/31/2025,,209.0,1529880.001,2380791.195,Forecast,,2392885.966,,15.58269179,2025-03-22 16:08:00
11/30/2025,,209.0,1494083.798,2414858.581,Forecast,,2889412.433,,17.7669303,2025-03-22 16:08:00
10/31/2025,,209.0,1388877.813,2313535.002,Forecast,,2627755.713,,17.9576691,2025-03-22 16:08:00
9/30/2025,,209.0,1242504.584,2180037.242,Forecast,,2792449.62,,17.96029351,2025-03-22 16:08:00
8/31/2025,,209.0,1387760.78,2322389.656,Forecast,,2577663.298,,15.05684646,2025-03-22 16:08:00
7/31/2025,,209.0,1781802.418,2656666.745,Forecast,,2550137.476,,14.1722666,2025-03-22 16:08:00
6/30/2025,,209.0,1483698.183,2393745.668,Forecast,,2678995.67,,18.75138094,2025-03-22 16:08:00
5/31/2025,,209.0,1664170.617,2589258.11,Forecast,,2659461.316,,18.33806021,2025-03-22 16:08:00
8/31/2026,,209.0,1373905.311,2297737.417,Forecast,,2616216.588,,15.61264715,2025-03-22 16:08:00
