ACC_MONTH,TOT_PAID,EST_COST,NBR_CASE,NBR_KEY_CASE,NBR_OTHER
4/30/2011,1489878.86,3629805.06,62,16,46
5/31/2011,1922713.79,1724956.61,41,8,33
6/30/2011,2378873.09,2623665.5,38,12,26
7/31/2011,1853901.62,2626410.66,49,9,40
8/31/2011,2024100.54,1995629.23,33,17,16
9/30/2011,1329445.24,3465521.97,43,20,23
10/31/2011,1865240.64,1792970.42,35,9,26
11/30/2011,2159360.43,1924099.546,32,16,16
12/31/2011,1356333.85,1790695.5,25,6,19
1/31/2012,1692342.47,1337685.21,27,8,19
2/29/2012,2208069.26,1815549.91,32,13,19
3/31/2012,1909207,2238235.9,75,17,58
4/30/2012,3135642.643,2064924.92,36,12,24
5/31/2012,2095194.618,1387912.58,30,10,20
6/30/2012,2450286.87,2203039.23,32,9,23
7/31/2012,2406744.489,1510063.18,41,12,29
8/31/2012,2262191.095,2852607.3,68,14,54
9/30/2012,2193638.005,2982185.85,46,8,38
10/31/2012,1974016.756,1831774.12,35,9,26
11/30/2012,2045473.734,3229496.07,61,14,47
12/31/2012,1884509.201,3051046.44,51,12,39
1/31/2013,1758906.358,1619809.81,33,10,23
2/28/2013,2578209.684,2386270.9,35,11,24
3/31/2013,1663324.43,2377410.52,27,10,17
4/30/2013,2502095.797,2164948.38,49,13,36
5/31/2013,1781229.635,1925505.81,32,14,18
6/30/2013,2261207.243,1754634.66,42,13,29
7/31/2013,2567320.076,1952435.36,37,12,25
8/31/2013,2588156.31,2236453.92,34,8,26
9/30/2013,2211539.186,1369729.94,32,8,24
10/31/2013,2112604.414,3025887.28,60,25,35
11/30/2013,2811406.588,1421532.25,43,11,32
12/31/2013,2569358.004,1427626.49,35,11,24
1/31/2014,1877526.339,3507401.86,67,10,57
2/28/2014,2051634.612,1841224.41,55,13,42
3/31/2014,2475323.322,3266199.09,42,13,29
4/30/2014,2328725.839,2358043.45,54,11,43
5/31/2014,2059055.436,2031113.489,51,15,36
6/30/2014,2156645.937,2094661.68,38,9,29
7/31/2014,2255014.48,3607457.13,59,13,46
8/31/2014,2325894.308,1138014.36,24,5,19
9/30/2014,1987224.405,2057333.71,55,13,42
10/31/2014,2369233.463,3876312.01,56,9,47
11/30/2014,1916487.86,1260767.63,33,5,28
12/31/2014,2369400.695,2534111.84,31,13,18
1/31/2015,2606920.393,1956282.453,47,13,34
2/28/2015,2101975.138,3181166.224,56,12,44
3/31/2015,2860881.185,2792862.4,65,15,50
4/30/2015,2562607.423,2036438.798,37,13,24
5/31/2015,2390122.756,3073630.96,67,13,54
6/30/2015,2696821.304,2293476.359,51,11,40
7/31/2015,3096667.019,2004424.244,35,6,29
8/31/2015,2175203.831,2156796.2,38,11,27
9/30/2015,2132066.133,2090915.083,57,15,42
10/31/2015,2725063.997,1500551.648,19,3,16
11/30/2015,1948650.632,3941170.846,57,14,43
12/31/2015,2454754.634,1453386.65,24,8,16
1/31/2016,2466602.507,2096546.766,54,17,37
2/29/2016,2604060.006,1648925.19,41,10,31
3/31/2016,2439691.837,2296818.55,42,10,32
4/30/2016,2403805.284,2330669.011,50,9,41
5/31/2016,2558408.835,2193039.19,44,18,26
6/30/2016,2175920.429,1764802.379,42,12,30
7/31/2016,2452856.911,2944021.215,37,6,31
8/31/2016,2091972.869,2234798.69,36,5,31
