ds,Actual_TOT_PAID,Prediction_TOT_PAID,Prediction_TOT_PAID_lower,Prediction_TOT_PAID_upper,source,Actual_BUDGET_AMT,Forecast_BUDGET_AMT,Actual_NBR_MURDER,Forecast_NBR_MURDER,model_run_datetime
4/30/2011,1489878.86,2160283.223,1675455.862,2632904.738,Fitted,3629805.06,2202063.018,16,11.40313052,3/22/2025 16:08
5/31/2011,1922713.79,2039558.074,1588520.765,2524394.553,Fitted,1724956.61,2133532.277,8,11.417865,3/22/2025 16:08
6/30/2011,2378873.09,1908730.988,1431292.861,2351455.633,Fitted,2623665.5,2116555.451,12,11.92271561,3/22/2025 16:08
7/31/2011,1853901.62,2169263.745,1687206.13,2641975.449,Fitted,2626410.66,2009281.603,9,7.043197851,3/22/2025 16:08
8/31/2011,2024100.54,1746620.825,1272737.704,2245452.879,Fitted,1995629.23,2038280.39,17,8.309321834,3/22/2025 16:08
9/30/2011,1329445.24,1598590.278,1124970.653,2054862.762,Fitted,3465521.97,2269654.678,20,11.41771582,3/22/2025 16:08
10/31/2011,1865240.64,1756038.387,1263423.747,2221608.965,Fitted,1792970.42,2119086.853,9,10.87966726,3/22/2025 16:08
11/30/2011,2159360.43,1890262.53,1465519.5,2369919.056,Fitted,1924099.546,2317081.819,16,10.80064082,3/22/2025 16:08
12/31/2011,1356333.85,1880864.761,1428043.467,2360659.257,Fitted,1790695.5,1839047.338,6,8.411863216,3/22/2025 16:08
1/31/2012,1692342.47,2064898.607,1613338.584,2545893.852,Fitted,1337685.21,2362602.81,8,10.96796758,3/22/2025 16:08
2/29/2012,2208069.26,1975088.125,1507818.943,2452705.793,Fitted,1815549.91,2264212.494,13,10.99516018,3/22/2025 16:08
3/31/2012,1909207,2018848.657,1538889.295,2494060.483,Fitted,2238235.9,2454344.265,17,12.7643102,3/22/2025 16:08
4/30/2012,2872070.97,2157289.853,1686371.945,2616542.81,Fitted,2064924.92,2287088.895,12,11.84047446,3/22/2025 16:08
5/31/2012,2017235.18,2050611.79,1594832.231,2512611.597,Fitted,1387912.58,2151437.574,10,11.96889283,3/22/2025 16:08
