ds,Actual_TOT_PAID,Prediction_TOT_PAID,Actual_BUDGET_AMT,Forecast_BUDGET_AMT,Actual_NBR_MURDER,Forecast_NBR_MURDER
2011-04-30,1489878.86,2160283.222921916,3629805.06,2202063.017636281,16.0,11.403130517284959
2011-05-31,1922713.79,2039558.0737197716,1724956.61,2133532.276861382,8.0,11.417865004787446
2011-06-30,2378873.09,1908730.9876376651,2623665.5,2116555.4510083064,12.0,11.922715611363136
2011-07-31,1853901.62,2169263.7448110133,2626410.66,2009281.602601204,9.0,7.043197851184614
2011-08-31,2024100.54,1746620.8245957205,1995629.23,2038280.3901879322,17.0,8.309321834013945
2011-09-30,1329445.24,1598590.2780336689,3465521.97,2269654.6782597713,20.0,11.4177158182668
2011-10-31,1865240.64,1756038.386513943,1792970.42,2119086.8531989777,9.0,10.879667258169976
2011-11-30,2159360.43,1890262.5298729606,1924099.546,2317081.8188780886,16.0,10.800640821510086
2011-12-31,1356333.85,1880864.7606536685,1790695.5,1839047.3382621277,6.0,8.411863215629918
2012-01-31,1692342.47,2064898.607352335,1337685.21,2362602.8103955192,8.0,10.967967584573296
2012-02-29,2208069.26,1975088.1252265498,1815549.91,2264212.494194405,13.0,10.995160175002807
2012-03-31,1909207.0,2018848.657123058,2238235.9,2454344.265323682,17.0,12.764310204894283
2012-04-30,2872070.97,2157289.853054325,2064924.92,2287088.8949530832,12.0,11.840474463991121
2012-05-31,2017235.18,2050611.7901010073,1387912.58,2151437.573986682,10.0,11.968892830542368
2012-06-30,2030150.39,1898205.1011730277,2203039.23,2189194.25707727,9.0,12.334166414618434
2012-07-31,2156175.11,2148286.297726471,1510063.18,2050016.8420663876,12.0,7.911866061082984
2012-08-31,2104838.76,1762251.8405030426,2852607.3,2076819.3421482465,14.0,8.607956092922496
2012-09-30,1239605.6,1650862.1090205093,2982185.85,2282969.590939525,8.0,11.397463124750693
2012-10-31,1813201.08,1759053.070953173,1831774.12,2110605.2214395367,9.0,11.660769185270569
2012-11-30,1964663.18,1874974.5136574,3229496.07,2403820.8118609767,14.0,11.418642169666438
2012-12-31,1705037.78,1847879.9346649505,3051046.44,1899162.0340365567,12.0,9.344361381406758
2013-01-31,1654993.05,2097513.22818869,1619809.81,2445445.5462761214,10.0,10.934286642148964
2013-02-28,2364079.84,1975096.9291399273,2386270.9,2322087.36839911,11.0,11.452841398778052
2013-03-31,900197.95,2024124.8771785162,2377410.52,2506055.6586665213,10.0,13.23445712371169
2013-04-30,2671204.95,2166419.831533074,2164948.38,2310352.3858811925,13.0,12.34851320002895
2013-05-31,1656952.45,2054997.0152467268,1925505.81,2196877.211924995,14.0,12.439233649047654
2013-06-30,1981714.48,1909717.5166704068,1754634.66,2216411.5509166527,13.0,12.85241640480071
2013-07-31,2596199.19,2163767.860388612,1952435.36,2087553.3421257364,12.0,8.273159489378921
2013-08-31,2160295.18,1765506.07575732,2236453.92,2115079.1487987293,8.0,9.157596773988997
2013-09-30,1513882.32,1641414.9268431384,1369729.94,2329865.4549937085,8.0,12.060905853446815
2013-10-31,1632396.88,1765792.7411026405,3025887.28,2165171.5332239526,25.0,12.058138868817164
2013-11-30,2294279.0,1888054.5137604324,1421532.25,2426828.238322916,11.0,11.867262100922614
2013-12-31,2172848.61,1867239.545512501,1427626.49,1930301.7554661944,11.0,9.682881022977423
2014-01-31,1644101.03,2095185.2645126232,3507401.86,2468903.4062073273,10.0,11.596875331162726
2014-02-28,1641647.36,1975229.7290924168,1841224.41,2380299.290738606,13.0,11.908634071761924
2014-03-31,2156105.37,2029589.6861340536,3266199.09,2557269.472695065,13.0,13.703858453901196
2014-04-30,2222263.14,2175563.986482859,2358043.45,2333403.4516555946,11.0,12.856361526266348
2014-05-31,1709731.4,2059457.5301285926,2031113.489,2242306.6174255367,15.0,12.909180669719499
2014-06-30,2056515.37,1921374.6352670258,2094661.68,2243592.1042660982,9.0,13.368881355259617
2014-07-31,2167779.74,2178908.8404356604,3607457.13,2125371.4747465863,13.0,8.637185555054407
2014-08-31,2164246.54,1768437.9580325729,1138014.36,2153632.2542609936,5.0,9.711718820776813
2014-09-30,1638343.97,1632129.7878915542,2057333.71,2376830.484467845,13.0,12.721356638254377
2014-10-31,1643687.01,1772933.1606191134,3876312.01,2219402.734417241,9.0,12.451374345233129
2014-11-30,1801718.81,1901300.363307529,1260767.63,2449306.8133129543,5.0,12.314845430729362
2014-12-31,2229873.87,1886385.2813458005,2534111.84,1961655.79273555,13.0,10.025629568863279
2015-01-31,1652092.58,2092456.5853975434,1956282.453,2492682.556338992,13.0,12.261789048893721
2015-02-28,1812800.17,1975497.1976125422,3181166.224,2438822.5701927077,12.0,12.36252436971364
2015-03-31,2280071.14,2035244.3980353188,2792862.4,2607968.4729753607,15.0,14.172530765943913
2015-04-30,2268000.62,2184718.964802542,2036438.798,2356257.1880771364,13.0,13.364016986971293
2015-05-31,2296895.1,2063993.8146312623,3073630.96,2287726.4469754566,13.0,13.378751487798832
2015-06-30,2560899.1,1933166.7276115275,2293476.359,2270749.6208060747,11.0,13.883602107267214
2015-07-31,2921974.55,2193699.483815862,2004424.244,2163475.7720720507,6.0,9.004084360412453
2015-08-31,2162138.14,1771056.5626315407,2156796.2,2192474.559331839,11.0,10.270208356566231
2015-09-30,1539331.38,1623026.0151316384,2090915.083,2423848.847087343,15.0,13.378602353713877
2015-10-31,1933027.15,1780464.4658100416,1500551.648,2273281.0217342507,3.0,12.840681921949145
2015-11-30,1972425.92,1914679.2629091712,3941170.846,2471275.987130335,14.0,12.761779480450066
2015-12-31,1992113.37,1905271.835888076,1453386.65,1993241.5062221105,8.0,10.373130002900641
2016-01-31,2221328.92,2089296.024784727,2096546.766,2516796.978063172,17.0,12.929362500177982
2016-02-29,1660954.45,1999476.507941057,1648925.19,2418406.6615885952,10.0,12.956674952595355
2016-03-31,1940317.92,2043226.2987588844,2296818.55,2608538.4324086737,10.0,14.725967482647754
2016-04-30,1900619.06,2181657.1002410688,2330669.011,2441283.061749438,9.0,13.802269643329685
2016-05-31,1813296.63,2074968.2963570803,2193039.19,2305631.7404849897,18.0,13.930830508184028
2016-06-30,1741400.85,1922551.2129800757,1764802.379,2343388.4232868757,12.0,14.296241993845134
2016-07-31,2389991.23,2172621.6686028335,2944021.215,2204211.007978017,6.0,9.874084138612531
2016-08-31,1360454.62,1786576.46053721,2234798.69,2231013.5229886617,5.0,10.570316713808507
