ds,Actual,Fitted,Forecast
2011-04-30,1489878.86,2160283.222921916,
2011-05-31,1922713.79,2039558.0737197716,
2011-06-30,2378873.09,1908730.9876376651,
2011-07-31,1853901.62,2169263.7448110133,
2011-08-31,2024100.54,1746620.8245957205,
2011-09-30,1329445.24,1598590.2780336689,
2011-10-31,1865240.64,1756038.386513943,
2011-11-30,2159360.43,1890262.5298729606,
2011-12-31,1356333.85,1880864.7606536685,
2012-01-31,1692342.47,2064898.607352335,
2012-02-29,2208069.26,1975088.1252265498,
2012-03-31,1909207.0,2018848.657123058,
2012-04-30,2872070.97,2157289.853054325,
2012-05-31,2017235.18,2050611.7901010073,
2012-06-30,2030150.39,1898205.1011730277,
2012-07-31,2156175.11,2148286.297726471,
2012-08-31,2104838.76,1762251.8405030426,
2012-09-30,1239605.6,1650862.1090205093,
2012-10-31,1813201.08,1759053.070953173,
2012-11-30,1964663.18,1874974.5136574,
2012-12-31,1705037.78,1847879.9346649505,
2013-01-31,1654993.05,2097513.22818869,
2013-02-28,2364079.84,1975096.9291399273,
2013-03-31,900197.95,2024124.8771785162,
2013-04-30,2671204.95,2166419.831533074,
2013-05-31,1656952.45,2054997.0152467268,
2013-06-30,1981714.48,1909717.5166704068,
2013-07-31,2596199.19,2163767.860388612,
2013-08-31,2160295.18,1765506.07575732,
2013-09-30,1513882.32,1641414.9268431384,
2013-10-31,1632396.88,1765792.7411026405,
2013-11-30,2294279.0,1888054.5137604324,
2013-12-31,2172848.61,1867239.545512501,
2014-01-31,1644101.03,2095185.2645126232,
2014-02-28,1641647.36,1975229.7290924168,
2014-03-31,2156105.37,2029589.6861340536,
2014-04-30,2222263.14,2175563.986482859,
2014-05-31,1709731.4,2059457.5301285926,
2014-06-30,2056515.37,1921374.6352670258,
2014-07-31,2167779.74,2178908.8404356604,
2014-08-31,2164246.54,1768437.9580325729,
2014-09-30,1638343.97,1632129.7878915542,
2014-10-31,1643687.01,1772933.1606191134,
2014-11-30,1801718.81,1901300.363307529,
2014-12-31,2229873.87,1886385.2813458005,
2015-01-31,1652092.58,2092456.5853975434,
2015-02-28,1812800.17,1975497.1976125422,
2015-03-31,2280071.14,2035244.3980353188,
