,class,who,deck,alone,embarked,alive
0,Third,man,nan,False,S,no
1,First,woman,C,False,C,yes
2,Third,woman,nan,True,S,yes
3,First,woman,C,False,S,yes
4,Third,man,nan,True,S,no
5,Third,man,nan,True,Q,no
6,First,man,E,True,S,no
7,Third,child,nan,False,S,no
8,Third,woman,nan,False,S,yes
9,Second,child,nan,False,C,yes
10,Third,child,G,False,S,yes
11,First,woman,C,True,S,yes
12,Third,man,nan,True,S,no
13,Third,man,nan,False,S,no
14,Third,child,nan,True,S,no
15,Second,woman,nan,True,S,yes
16,Third,child,nan,False,Q,no
17,Second,man,nan,True,S,yes
18,Third,woman,nan,False,S,no
19,Third,woman,nan,True,C,yes
20,Second,man,nan,True,S,no
21,Second,man,D,True,S,yes
22,Third,child,nan,True,Q,yes
23,First,man,A,True,S,yes
24,Third,child,nan,False,S,no
25,Third,woman,nan,False,S,yes
26,Third,man,nan,True,C,no
27,First,man,C,False,S,no
28,Third,woman,nan,True,Q,yes
29,Third,man,nan,True,S,no
30,First,man,nan,True,C,no
31,First,woman,B,False,C,yes
32,Third,woman,nan,True,Q,yes
33,Second,man,nan,True,S,no
34,First,man,nan,False,C,no
35,First,man,nan,False,S,no
36,Third,man,nan,True,C,yes
37,Third,man,nan,True,S,no
38,Third,woman,nan,False,S,no
39,Third,child,nan,False,C,yes
40,Third,woman,nan,False,S,no
41,Second,woman,nan,False,S,no
42,Third,man,nan,True,C,no
43,Second,child,nan,False,C,yes
44,Third,woman,nan,True,Q,yes
45,Third,man,nan,True,S,no
46,Third,man,nan,False,Q,no
47,Third,woman,nan,True,Q,yes
48,Third,man,nan,False,C,no
49,Third,woman,nan,False,S,no
50,Third,child,nan,False,S,no
51,Third,man,nan,True,S,no
52,First,woman,D,False,C,yes
53,Second,woman,nan,False,S,yes
54,First,man,B,False,C,no
55,First,man,C,True,S,yes
56,Second,woman,nan,True,S,yes
57,Third,man,nan,True,C,no
58,Second,child,nan,False,S,yes
59,Third,child,nan,False,S,no
60,Third,man,nan,True,C,no
61,First,woman,B,True,nan,yes
62,First,man,C,False,S,no
63,Third,child,nan,False,S,no
64,First,man,nan,True,C,no
65,Third,man,nan,False,C,yes
66,Second,woman,F,True,S,yes
67,Third,man,nan,True,S,no
